"id","text"
"162","Apakah benar anda memilih %s %s (<b>%s</b>)?"
"90","Apakah datanya sudah benar?"
"68","Apakah mau DitaAja bantu untuk reset password domain *%s* sekarang?"
"70","Apakah mau DitaAja bantu untuk unlock account domain *%s* sekarang?"
"80","Article yang anda pilih tidak memilik gambar, silahkan pilih article lain."
"166","Bagaimana experience anda menggunakan DitaAja pada tiket %s? 

Silahkan berikan rating anda dengan menekan tombol di bawah atau ketik /start untuk kembali ke menu utama DitaAja."
"167","Bagaimana experience anda menggunakan DitaAja pada tiket %s? 

Silahkan berikan rating anda dengan menekan tombol di bawah:"
"79","Baiklah %s %s, prosesnya DitaAja batalkan. Untuk mengetahui layanan yang DitaAja sediakan, silahkan ketik /start."
"71","Baiklah, Terima kasih telah menghubungi DitaAja.
DitaAja senang membantu %s %s. untuk mengetahui layanan yang DitaAja sediakan, silahkan ketik /start."
"12","Balas dengan hanya nomor, jangan ada karakter lain.
(Organik: Nomor B0, Non-Organik: Nomor Telkomsel)"
"89","Berapa nomor handphone Anda yang dapat DitaAja hubungi?
(Format: 08xx atau 628xx)"
"106","Berikut link yang bisa diakses untuk BYOD:
https://secure.telkomsel.co.id/guest/auth_login.php"
"138","Berikut status tiket DitaAja anda yang active."
"113","Berikut tiket yang dapat Anda <b>Reject</b>:"
"32","Berikut tiket yang dapat Anda follow up:"
"49","Berikut tiket yang dapat Anda Pending:"
"34","Berikut tiket yang dapat Anda solve:"
"81","Berikut, semoga membantu:"
"134","Chat ID User belum terdaftar. Silahkan hubungi PIC DitaAja."
"45","Command yang Anda masukkan tidak dikenal. Silakan pilih salah satu tombol di bawah:"
"161","Create ticket anda telah dibatalkan."
"152","Detail case anda: *%s*"
"60","Domain Anda berhasil di-Reset.
Password domain Anda yang baru sudah dikirimkan ke nomor B0."
"57","Domain Anda berhasil di-Unlock."
"189","Hai <b>%s %s</b> %s."
"21","Jangan balas dengan command. Masukkan detail request atau tekan tombol diatas."
"110","Jawaban anda tersimpan."
"151","Ketikkan detail permasalahan anda, atau pilih Skip untuk melewati proses ini:"
"56","Kode OTP yang Anda masukkan salah. Ketik /resendotp untuk mengirim ulang OTP. 
untuk create ulang tiket, silahkan klik /start ."
"51","Kode OTP yang Anda masukkan salah. Ketik /resendotp untuk mengirim ulang OTP."
"91","Laporan anda sudah terima, sebentar lagi agent DitaAja akan menghubungi anda, harap ditunggu."
"8","Lokasi kerja Anda di: "
"5","Lokasi kerja Anda di: *SEMARANG*"
"84","Lokasi kerja Anda saat ini?"
"76","Maaf data tidak ditemukan."
"141","Maaf detail ticket tidak tersedia."
"77","Maaf OTP yang Anda masukkan salah. Silahkan masukkan kembali kode OTP yang tadi sudah Dita kirimkan ke nomor B0 Anda."
"61","Maaf sistem sedang gangguan, DitaAja gagal melakukan reset password domain Anda, silahkan reset password domain anda via channel alternatif seperti Moana, mServiceDesk atau menghubungi tim ITSD WA/Call 0811860086 dan Email : ServicedeskHQ-L@telkomsel.co.id Terima Kasih"
"122","Maaf, akun ditaAja anda belum aktif. Lengkapi beberapa informasi."
"78","Maaf, Anda sudah 3 kali salah memasukan kode OTP. Apakah Anda ingin generate ulang kode OTP?"
"121","Maaf, anda tidak terdaftar menjadi live agent. "
"18","Maaf, Anda tidak terdaftar sebagai Team Support, Anda tidak mempunyai privilege untuk mengakses fitur ini."
"127","Maaf, Article tidak ditemukan. Silahkan pilih category lainnya."
"117","Maaf, data yang anda input tidak valid. "
"119","Maaf, detail yang anda input kurang panjang, minimal 3 kata."
"82","Maaf, DitaAja tidak mengerti yang anda maksud. Coba masukkan keyword lain. untuk mengetahui layanan yang DitaAja sediakan, silahkan ketik /start ."
"133","Maaf, login domain yang anda masukkan tidak DitaAja temukan. Pastikan user domain tersebut sudah benar dan terdaftar di DitaAja."
"112","Maaf, tidak ada tiket yang perlu anda *Confirm*."
"29","Maaf, tidak ada tiket yang perlu Anda follow up."
"48","Maaf, tidak ada tiket yang perlu Anda handle."
"35","Maaf, tidak ada tiket yang perlu Anda solve."
"26","Maaf, tidak ada tiket yang sedang Anda handle."
"115","Maaf, tidak tidak ada tiket yang perlu anda *Reject*."
"116","Maaf, tidak tidak ada tiket yang perlu anda *Respon*."
"9","Masukkan akun domain atau NIK CRM Anda:
(*PERHATIAN*: _Akun domain akan dijadikan acuan untuk reset password, Anda tidak bisa request reset password akun yang tidak sesuai dengan yang Anda daftarkan._ Input yang sesuai ya kak, jika tidak punya isi dengan '-')"
"17","Masukkan ID tiket:"
"59","Masukkan kode OTP yang telah dikirimkan ke nomor telepon Anda untuk melanjutkan proses Reset Password:"
"55","Masukkan kode OTP yang telah dikirimkan ke nomor telepon Anda untuk melanjutkan proses Unlock Domain:"
"53","Masukkan nama Anda (sesuai kartu identitas):"
"146","Masukkan nama panggilan anda :"
"52","Masukkan nomor telepon Anda:"
"15","Masukkan password baru Anda dengan 8-12 karakter saja"
"6","Masukkan posisi Anda (CS, TL, FOS, Admin (divisi), dsb):
Contoh: CS, TL atau Admin cso"
"108","Merk device / laptop Anda apa?
(Opsi: Lenovo X13 yoga, Lenovo T14, Lenovo Heavy Duty, Hp 820 G4, Hp 830 G6, Hp 830 G7, Others: Sebutkan merk dan type)
(Pilihan di bawah berdasarkan inputan anda sebelumnya. Jika kondisi sekarang berbeda, silahkan ketik inputan text)"
"85","Merk device / laptop Anda apa?
(Opsi: Lenovo X13 yoga, Lenovo T14, Lenovo Heavy Duty, Hp 820 G4, Hp 830 G6, Hp 830 G7, Others: Sebutkan merk dan type)"
"93","Mohon infokan Login Domain atau NIK agar DitaAja bisa mengenali Anda. untuk mengetahui layanan yang DitaAja sediakan, silahkan ketik /start."
"75","Mohon infokan login domain yang akan anda gunakan."
"156","Mohon input beberapa category permasalahan yang sesuai dengan ticket berikut:  

Pilih DONE untuk melanjutkan proses selanjutnya"
"46","Mohon maaf status user Anda *Non-aktif*, untuk mengaktifkan silakan hubungi tim IT SD atau IT Regional."
"147","Mohon maaf, data user ditaAja anda perlu di update. Mohon lengkapi beberapa informasi berikut."
"72","Mohon maaf, NIK anda tidak ditemukan. Mohon untuk mendaftar terlebih dahulu. Terima kasih."
"73","Mohon maaf, NIK atau user domain anda tidak dikenali system. Coba lagi dengan benar, jika gagal mohon contact HCM. Untuk user non organik mohon untuk mendaftar dulu di SIAD. Terima kasih."
"155","Mohon maaf, nomor B0 anda sudah terdaftar di DitaAja."
"92","Mohon maaf, saat ini fitur sedang tidak tersedia, mohon dicoba lagi lain waktu."
"136","Mohon maaf, ticket remedy tidak berhasil dibuat. Silahkan confirm ulang tiket ini beberapa saat lagi."
"47","Mohon maaf, tiket Anda sudah selesai secara otomatis karena tidak ada tanggapan. jika ingin request tiket baru, silakan ketik /start"
"66","Mohon maaf, user domain anda tidak ada data nomer b0. Mohon untuk mendaftar terlebih dahulu. Terima kasih."
"192","Mohon tunggu, DitaAja akan segera mengirimkan video permintaanmu"
"135","Mohon tunggu, ticket sedang di proses"
"143","Nama Robot Anda?"
"88","Nomor yang bisa dihubungi: *%s*"
"4","Office anda di: "
"54","OTP sudah dikirimkan kembali ke nomor telepon Anda. Masukkan kode OTP:"
"105","Panduan Login "
"16","Password baru tidak boleh mengandung informasi nama domain!"
"25","Pilih id tiket yang akan dipending:"
"124","Pilih lokasi anda:"
"7","Pilih lokasi kerja Anda: "
"144","Pilih Nama Robot RPA anda:"
"3","Pilih office Anda:"
"149","Pilih problem robot RPA anda:"
"123","Pilih regional anda:"
"128","Pilih Top 5 Artikel:"
"44","Proses registrasi Anda belum selesai.
Masukkan akun domain atau NIK CRM Anda:
(*PERHATIAN*: _Akun domain akan dijadikan acuan untuk reset password, Anda tidak bisa request reset password akun yang tidak sesuai dengan yang Anda daftarkan._ Input yang sesuai ya kak, jika tidak punya isi dengan '-')"
"41","Proses registrasi Anda belum selesai.
Masukkan nama lengkap Anda (sesuai kartu identitas):"
"43","Proses registrasi Anda belum selesai.
Masukkan posisi Anda (CS, TL, FOS, Admin (divisi), dsb):
Contoh: CS, TL atau Admin cso"
"42","Proses registrasi Anda belum selesai.
Pilih office Anda:"
"65","Reset password domain dibatalkan."
"190","Sama-sama <b>%s %s</b> %s.
Silahkan ketik /start untuk menghubungi DitaAja kembali."
"188","Silahkan cek kembali detail ticket anda:"
"103","Silahkan klik Button di bawah ini untuk mendapatkan panduannya."
"139","Silahkan masukan id ticket ditaaja."
"186","Silahkan masukkan detail complain anda:"
"183","Silahkan masukkan hostname visa anda:"
"50","Silahkan masukkan kode OTP yang sudah DitaAja kirimkan ke nomor B0 Anda."
"180","Silahkan masukkan nama GraPARI anda:"
"178","Silahkan masukkan nama sub-directorate anda:"
"181","Silahkan masukkan nama vendor:"
"86","Silahkan memasukan detail case Anda. (Minimal 3 kata)"
"125","Silahkan pilih category FAQ berikut atau ketik pertanyaan anda:"
"159","Silahkan pilih FAQ/Topic Category berikut atau ketik pertanyaan anda:"
"175","Silahkan pilih nama directorate anda:"
"142","Silahkan pilih Nama Robot Anda?
"
"126","Silahkan pilih sub-category FAQ berikut atau ketik pertanyaan anda:"
"170","Silahkan pilih type request anda:"
"172","Silahkan pilih type user anda:"
"174","Silahkan pilih unit kerja anda:"
"2","Silakan pilih menu berikut atau ketik pertanyaan anda:"
"10","Silakan pilih salah satu button, jangan membalas pesan dengan teks."
"58","Sistem gagal untuk unlock domain Anda, silakan hubungi tim terkait."
"69","Status password domain anda *%s*."
"129","Terima kasih telah menghubungi DitaAja, untuk mengetahui layanan yang DitaAja sediakan, silahkan ketik /start."
"165","Terima kasih telah menghubungi DitaAja.
DitaAja senang membantu %s %s."
"160","Terima kasih telah menghubungi DitaAja. Silahkan ketik pertanyaan lainnya
_*untuk kembali ke menu utama, silahkan ketik /start_"
"104","Terima kasih,
DitaAja senang membantu *%s %s*. Silahkan ketik /start untuk menghubungi DitaAja kembali."
"153","Terima kasih, rating dan ulasan anda membantu DitaAja memberikan layanan terbaik."
"24","Tidak ada tiket yang sedang Anda handle"
"19","Tiket tidak ditemukan, masukkan ID tiket yang benar."
"111","Type device / laptop anda: "
"63","Unlock user domain dibatalkan."
"148","Untuk melanjutkan request yang Anda minta, dimohon memilih Nama Robot:
_*untuk kembali ke menu utama, silahkan ketik /start_"
"83","Untuk melanjutkan request yang Anda minta, dimohon untuk memberikan data berikut:
_*untuk kembali ke menu utama, silahkan ketik /start_"
"102","Untuk mengetahui layanan yang DitaAja sediakan, silahkan ketik /start."
"191","Untuk penjelasan lebih detail, silahkan klik pilihan di bawah ini"
"158","User anda sudah terdaftar sebagai %s 
Status user anda %s 

Apakah anda ingin mengaktifkan user berikut?"
"157","User anda sudah terdaftar sebagai %s 
Status user anda %s 

Silahkan Non Aktifkan akun DitaAja anda pada device sebelumnya."
"154","User anda terdaftar sebagai user non organik. Pastikan user domain sudah benar, atau silahkan hubungi PIC DitaAja."
"101","User domain: *%s*"
"118","User tidak ditemukan."
"132","Username anda masih kosong, silahkan hubungi PIC DitaAja."

"200","Ubah Bahasa"
"201","Silahkan pilih bahasa Anda!!"
